book_name,authors,rating,publish_year,publish_month,publish_day,publisher,num_reviews,num_pages
Henderson the Rain King,Saul Bellow,3.78,1976,1,11,Avon Books,1,286
The Life and Times of the Thunderbolt Kid,Bill Bryson,3.94,2006,2,9,Doubleday,3,310
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,4.07,1998,12,1,Dover Publications,31,144
Red Azalea,Anchee Min,3.85,1994,25,1,Pantheon Books,14,306
The Hundred Secret Senses,Amy Tan,3.99,1996,31,12,Thorndike Press,2,568
Heart-Shaped Box,Joe Hill,3.84,2007,1,5,HarperLuxe,16,510
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,4.08,2003,5,6,Penguin Books,19,509
The Mosquito Coast,Paul Theroux,3.83,1982,30,9,Penguin,26,384
The Secret Agent,Joseph Conrad,3.59,1992,26,11,Everyman,3,283
To Have and Have Not,Ernest Hemingway,3.56,2004,18,8,Arrow Books,33,180
"Shadow Man (Smoky Barrett, #1)",Cody McFadyen,4.14,2006,13,6,Bantam Books,21,373
The River,Cheryl Kaye Tardif,3.6,2005,1,9,Trafford Publishing,43,231
The Great Railway Bazaar,Paul Theroux,3.91,1981,12,6,Ballantine Books,1,342
Bag of Bones,Stephen King,3.9,2007,31,5,Hodder,9,660
The Sportswriter,Richard Ford,3.7,1996,4,7,The Harvill Press,7,381
Mr. Popper's Penguins,Richard Atwater,3.97,1978,15,3,Dell Publishing Company,6,148
Blood and Thunder: An Epic of the American West,Hampton Sides,4.2,2009,25,8,"Little, Brown",2,480
The War of the End of the World,Mario Vargas Llosa,4.23,1984,1,9,"Farrar, Straus and Giroux",8,568
Restless,William  Boyd,3.88,2007,29,5,Vintage Canada,1,336
Me Llamo Rojo,Orhan Pamuk,3.85,2005,1,7,Punto de Lectura,2,688
The Constant Gardener,John le Carré,3.8,2006,21,9,Sceptre,11,592
The Queen of the South,Arturo Pérez-Reverte,3.93,2004,3,6,Putnam Adult,27,448
Treasure Island,Deidre S. Laiken,4.05,1989,28,5,Baronet Books,88,240
Fugitive Pieces,Anne Michaels,3.94,1997,31,12,Thorndike Press,2,355
"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,4.13,1994,11,8,Tor Books,144,820
Hotel Honolulu,Paul Theroux,3.44,2001,9,5,Houghton Mifflin Harcourt,12,424
Uncle Tom's Cabin,Harriet Beecher Stowe,3.87,2006,19,12,Bedford/St. Martin's,2,480
Beowulf,Kevin Crossley-Holland,3.54,1999,22,7,"Oxford University Press, USA",19,48
Tara Road,Maeve Binchy,3.9,1999,1,5,Thorndike Press,1,743
Scarlet Feather,Maeve Binchy,3.96,2008,5,2,Berkley Books,10,537
"Girl, 15, Charming but Insane (Jess Jordan, #1)",Sue Limb,3.67,2004,10,8,Delacorte Books for Young Readers,233,214
Kaleidoscope,Danielle Steel,3.91,1989,1,7,Dell,10,432
Scruples,Judith Krantz,3.82,1989,28,10,Bantam,12,574
This Side of Paradise,F. Scott Fitzgerald,3.67,1996,1,1,Barnes & Noble,3,255
The Sheep Look Up,John Brunner,3.95,2003,1,6,Benbella Books,2,388
The Wedding,Dorothy West,3.99,1996,1,1,Anchor,245,256
The Snow Queen,Hans Christian Andersen,3.74,2000,1,9,Tundra Books,12,48
The Ugly Duckling,Jerry Pinkney,4.11,1999,24,3,HarperCollins,7,40
"The White Mountains (The Tripods, #1)",John Christopher,3.94,2003,1,4,Simon & Schuster Children's Publishing,6,164
"B is for Burglar (Kinsey Millhone, #2)",Sue Grafton,3.85,2008,1,2,MacMillan General Books,17,384
"The Cat Who Played Post Office (Cat Who..., #6)",Lilian Jackson Braun,3.98,1987,1,12,Jove Book,12,186
Operating Instructions: A Journal of My Son's First Year,Anne Lamott,4.19,1993,27,4,Pantheon,9,251
The Decameron,Giovanni Boccaccio,3.88,2003,1,4,Turtleback Books,1,909
The Awakening,Kate Chopin,3.65,1999,29,12,Bedford/St. Martin's,28,418
Think!: Why Crucial Decisions Can't Be Made in the Blink of an Eye,Michael R. LeGault,3.07,2006,3,1,Simon & Schuster Audio,2,0
The Assassini,Thomas Gifford,3.72,1991,1,8,Bantam,60,688
The Painter,Will Davenport,3.43,2003,29,4,Bantam,30,336
"Breath, Eyes, Memory",Edwidge Danticat,3.88,1998,18,5,"Random House, Inc.",3,256
Joe College,Tom Perrotta,3.39,2001,5,10,St. Martin's Griffin,23,320
"Messenger (The Giver, #3)",Lois Lowry,3.91,2006,24,1,Laurel Leaf,93,169
Hullabaloo in the Guava Orchard,Kiran Desai,3.45,1998,1,12,Atlantic Monthly Press,7,209
Matilda,Roald Dahl,4.32,2007,15,3,Gallimard Jeunesse,18,256
Sophie's Choice,William Styron,4.19,2004,5,2,Vintage Classics,21,632
If He Hollers Let Him Go,Chester Himes,3.97,1986,31,12,Thunder's Mouth Press,4,203
Leviathan,Thomas Hobbes,3.7,1998,2,7,Oxford University Press,13,475
Where the Red Fern Grows,Wilson Rawls,4.08,1981,1,12,Bantam Books,2,249
The Road to Serfdom,Friedrich A. Hayek,4.17,1994,15,10,University Of Chicago Press,7,320
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.81,1998,1,2,Bison Books,4,164
All Over Creation,Ruth Ozeki,3.78,2004,30,3,Penguin Books,548,432
"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,4.1,1984,12,1,Del Rey Books,22,276
Then She Found Me,Elinor Lipman,3.44,2007,9,8,Headline Review,2,311
"Gone (Quincy & Rainie, #5)",Lisa Gardner,4.19,2006,4,10,Not Avail,6,376
The Sea Wolf,Jack London,4.04,1984,1,4,Bantam Classics,46,288
Grendel,John Gardner,3.69,1971,12,8,Knopf,8,174
The Vagabond,Colette,3.97,1995,1,6,Penguin Classics,9,192
The Lost Weekend,Billy Wilder,4.0,2000,5,12,University of California Press,2,124
Hopscotch,Denyse Devlin,3.6,2006,25,7,Penguin Ireland,1,384
The Emperor's Children,Claire Messud,2.96,2006,1,9,Picador USA,4,431
George,E.L. Konigsburg,3.66,1970,1,7,Marcel Dekker,4,152
Great Expectations,Declan Donnellan,3.75,2006,1,4,Nick Hern Books,1,128
A Vindication of the Rights of Woman,Mary Wollstonecraft,3.9,1993,1,2,Penguin Classics,11,319
"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,4.43,2000,18,9,Thorndike Press,1,517
Pippi Longstocking,Astrid Lindgren,4.13,2007,6,9,Oxford University Press,25,208
"The Shunning (The Heritage of Lancaster County, #1)",Beverly Lewis,4.15,1997,1,5,Bethany House Publishers,23,282
"Two Girls, Fat and Thin",Mary Gaitskill,3.64,1992,1,5,Bantam Dell Pub Group (P),4,388
Veronica,Mary Gaitskill,3.38,2007,8,11,Serpent's Tail,4,257
Billy Bathgate,E.L. Doctorow,3.79,1990,1,12,Pan,3,323
The Day After Tomorrow,Robert A. Heinlein,3.66,1983,1,9,Signet New American Library,5,144
The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,4.17,2005,18,10,Doubleday,99,416
Native Son,Richard Wright,3.99,2008,6,3,Vintage Classics,30,454
Tuck Everlasting,Natalie Babbitt,3.88,2000,1,4,Farrar Straus Giroux,7,171
East of Eden,John Steinbeck,4.38,2003,24,6,Viking,58,601
Into the Water,Diane Fanning,3.66,2004,14,6,St. Martin's Paperbacks,16,244
"3rd Degree (Women's Murder Club, #3)",James Patterson,4.02,2004,1,3,Little Brown and Company,69,341
Mona in the Promised Land,Gish Jen,3.47,1996,7,5,Knopf,9,303
"Red Rackham's Treasure (Tintin, #12)",Hergé,4.27,1974,30,6,"Little, Brown and Co.",12,62
"The Black Island (Tintin, #7)",Hergé,4.0,1975,28,4,"Little, Brown Books for Young Readers",21,62
The Magus,John Fowles,4.05,1987,27,12,Jonathan Cape,2,656
Dinner at the Homesick Restaurant,Anne Tyler,3.81,1982,12,3,Alfred A. Knopf,38,303
Sense and Sensibility,Jane Austen,4.07,1996,27,6,Puffin Classics,9,319
Sexual Personae: Art and Decadence from Nefertiti to Emily Dickinson,Camille Paglia,3.95,1990,10,9,Yale University Press,3,712
Immortality,Milan Kundera,4.14,2018,20,2,Grove Weidenfeld (NY),21,351
Ignorance,Milan Kundera,3.78,2002,1,10,Harper,28,195
"Foundation (Foundation, #1)",Isaac Asimov,4.17,1999,1,10,Tandem Library,36,320
Nemesis,Isaac Asimov,3.77,1990,1,9,Turtleback Books,1,400
Fantastic Voyage,Isaac Asimov,3.91,1966,1,12,Houghton Mifflin,13,239
"The Robots of Dawn (Robot, #3)",Isaac Asimov,4.16,1994,1,3,Turtleback Books,2,448
"Fool's Errand (Tawny Man, #1)",Robin Hobb,4.31,2002,2,1,Spectra Books,26,486
Far from the Madding Crowd,Thomas Hardy,3.94,2007,19,4,Dover Publications,12,368
The Monkey Wrench Gang,Edward Abbey,4.09,1975,1,8,Lippincott,4,352
"The System of the World (The Baroque Cycle, #3)",Neal Stephenson,4.32,2005,6,10,Arrow,37,892
"The Confusion (The Baroque Cycle, #2)",Neal Stephenson,4.26,2005,7,4,Arrow Books Ltd,32,818
"Girl, Nearly 16: Absolute Torture (Jess Jordan, #2)",Sue Limb,3.7,2005,11,10,Delacorte Press,76,216
The Arrival,Shaun Tan,4.33,2007,12,10,Lothian Books,3814,132
Lonesome Dove,Larry McMurtry,4.49,1985,13,6,New York: Simon and Schuster,127,843
Carrie,Stephen King,3.96,2006,7,9,Hodder & Stoughton,15,242
The Fountainhead,Ayn Rand,3.87,1971,1,4,Signet Book,11,695
"Queen of Babble (Queen of Babble, #1)",Meg Cabot,3.69,2006,1,12,Pan Books,44,272
Peter Pan,J.M. Barrie,4.07,2006,6,7,Oxford University Press,8,232
If You Could See Me Now,Cecelia Ahern,3.86,2005,21,11,Harper Collins,128,401
Breakfast of Champions,Kurt Vonnegut Jr.,4.07,1974,15,3,Delta,1,320
The Sirens of Titan,Kurt Vonnegut Jr.,4.16,1998,8,9,Turtleback Books,6,336
Sophie's World,Jostein Gaarder,3.93,1997,1,1,Berkley Trade,23,523
Tropic of Cancer,Henry Miller,3.68,1983,12,6,Modern Library,5,321
